x,y,z,longitude,latitude,speed,sound,timestamp,type,
-1.40445,9.97084,8.21254,87.2922,23.5453,2.51,80.7327,1.5015e+12,pot holes,
3.05592,7.14413,6.25517,87.2922,23.5453,2.51,80.7327,1.5015e+12,pot holes,
1.03528,9.42896,16.3876,87.2922,23.5453,2.51,80.7327,1.5015e+12,bumpers,
-3.41103,11.5946,1.38864,87.2922,23.5453,2.51,80.7327,1.5015e+12,smooth road,
3.74152,9.55437,4.99277,87.2922,23.5453,2.51,80.7327,1.5015e+12,smooth road,
2.55186,11.8682,5.53592,87.2922,23.5453,2.51,80.7327,1.5015e+12,pot holes,
-0.304138,9.86024,5.23035,87.2922,23.5453,2.51,80.7327,1.5015e+12,pot holes,
-0.497574,8.92953,-3.03203,87.2922,23.5453,2.51,80.7327,1.5015e+12,smooth road,
0.845078,7.84741,9.24712,87.2922,23.5453,2.08,80.7327,1.5015e+12,pot holes,
1.11478,10.188,-3.0213,87.2922,23.5453,2.08,80.7327,1.5015e+12,smooth road,
-0.836685,6.09985,4.99825,87.2922,23.5453,2.08,80.7327,1.5015e+12,smooth road,
1.30449,8.60303,0.67984,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
1.16148,8.2036,-0.485382,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
-3.31456,12.3703,-2.40538,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
4.00838,10.1184,1.73367,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
-1.84796,10.4023,-9.86035,87.2922,23.5453,2.08,77.3646,1.5015e+12,pot holes,
-0.444016,9.10167,-3.55652,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
-2.35536,10.2206,-0.572037,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
1.09167,10.5348,-1.38792,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
-0.982651,8.3429,-1.59137,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
-0.172638,10.3628,-1.66994,87.2922,23.5453,2.08,77.3646,1.5015e+12,smooth road,
1.86876,8.65582,8.41467,87.2922,23.5453,2.08,77.3646,1.5015e+12,pot holes,
-1.24974,10.8318,-11.8499,87.2922,23.5453,2.08,76.6791,1.5015e+12,pot holes,
-1.86388,7.46849,-7.67313,87.2922,23.5453,2.08,76.6791,1.5015e+12,pot holes,
1.13586,5.88692,-10.8137,87.2922,23.5453,2.08,76.6791,1.5015e+12,pot holes,
-4.19151,10.3113,-2.53445,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
-0.0335236,6.29266,-1.54477,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
1.44914,9.67618,6.20886,87.2922,23.5453,2.08,76.6791,1.5015e+12,pot holes,
0.204391,11.6069,-3.50159,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
-0.55574,10.6885,3.77858,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
-0.518539,11.1151,-6.42546,87.2922,23.5453,2.08,76.6791,1.5015e+12,pot holes,
-1.02824,8.64963,0.36554,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
-1.4577,11.3417,2.68141,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
2.87413,7.80226,4.12242,87.2922,23.5453,2.08,76.6791,1.5015e+12,smooth road,
-1.87181,9.20143,-1.21558,87.2922,23.5452,1.85,76.6791,1.5015e+12,smooth road,
1.36638,9.86795,7.70288,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
1.53555,8.87196,9.03899,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
0.293457,9.85033,5.56004,87.2922,23.5452,1.85,78.4768,1.5015e+12,pot holes,
